date,symbol,cashAndCashEquivalents,propertyPlantEquipmentNet,totalDebt,price,mktCap,industry,sector,image,isActivelyTrading,ebit,workingCapital,Security Name,Exchange,enterpriseValue,earningsYield,returnOnCapital,rocRank,yieldRank,rankSum,overallRank
2024-12-31,INBX,152596000.0,13538000.0,8048000.0,11.28,163288197.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/INBX.png,True,1697819000.0,119668000.0,"Inhibrx Biosciences, Inc. - Common Stock",NASDAQ,18740197.0,9059.771356725865,1274.58147530892,36.0,5.0,41.0,1.0
2024-12-31,PRFX,4261000.0,97000.0,45000.0,1.92,3619200.0,Drug Manufacturers - Specialty & Generic,Healthcare,https://images.financialmodelingprep.com/symbol/PRFX.png,True,-17826000.000000015,-1899000.0,PainReform Ltd. - Ordinary Shares,NASDAQ,-596800.0,2986.930294906169,989.2341842397345,47.0,20.0,67.0,2.0
2024-12-31,CEROW,3327060.0,1992888.0,1575499.0,0.0115,64156.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/CEROW.png,True,-10579423.0,-3688344.0,"CERo Therapeutics Holdings, Inc. - Warrants",NASDAQ,-1687405.0,626.964066125204,623.9868802257328,73.0,60.0,133.0,3.0
2024-12-31,MBIO,6839000.0,452000.0,878000.0,1.12,3702299.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/MBIO.png,True,-15747000.0,-4003000.0,"Mustang Bio, Inc. - Common Stock",NASDAQ,-2258701.0,697.1706303756008,443.45254857786534,97.0,55.0,152.0,4.0
2024-12-31,PAL,15398714.0,133607172.0,93571545.0,8.05,217906376.0,Integrated Freight & Logistics,Industrials,https://images.financialmodelingprep.com/symbol/PAL.png,True,771383349.0,15063511.0,"Proficient Auto Logistics, Inc. - Common Stock",NASDAQ,296079207.0,260.53276649042095,518.8537063490857,83.0,101.0,184.0,5.0
2023-12-31,NCI,5849306.0,25182536.0,54638254.0,0.3352,6811264.0,Apparel - Manufacturers,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/NCI.png,True,108822000.0,-6088795.0,Neo-Concept International Group Holdings Limited - Class A Ordinary Shares,NASDAQ,55600212.0,195.7222753035546,569.9354568599207,77.0,125.0,202.0,6.0
2024-12-31,RIME,7550000.0,379000.0,650000.0,2.57,6154713.0,Consumer Electronics,Technology,https://images.financialmodelingprep.com/symbol/RIME.png,True,-22468000.0,-11675000.0,"Algorhythm Holdings, Inc. - Common Stock",NASDAQ,-745287.0,3014.677567165401,198.90226628895184,201.0,19.0,220.0,7.0
2024-03-31,AERT,2084000.0,10897000.0,16369000.0,0.6801,30303892.0,Consulting Services,Industrials,https://images.financialmodelingprep.com/symbol/AERT.png,True,14577000.0,-10419000.0,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,44588892.0,32.69199871573395,3049.581589958159,13.0,282.0,295.0,8.0
2024-12-31,VTMX,184106780.0,2919853.0,847543818.0,27.59,233442577.0,Real Estate - Development,Real Estate,https://images.financialmodelingprep.com/symbol/VTMX.png,True,265973295.0,-1.0,"Corporacion Inmobiliaria Vesta, S.A.B de C.V. American Depositary Shares, each representing ten (10) Common Shares",NYSE,896879615.0,29.655406428208313,9109.136182244853,4.0,292.0,296.0,9.0
2024-12-31,PUK,2445000000.0,417000000.0,4722000000.0,23.09,29948849865.0,Insurance - Life,Financial Services,https://images.financialmodelingprep.com/symbol/PUK.png,True,16412186176.0,2212000000.0,Prudential Public Limited Company Common Stock,NYSE,32225849865.0,50.92863724231839,624.2748640547736,72.0,232.0,304.0,10.0
2021-12-31,BPOPM,7523000.0,494240000.0,71365000.0,25.74,2498663576.0,Banks,Financial Services,https://images.financialmodelingprep.com/symbol/BPOPM.png,True,1778170000.0,2836514.0,"Popular, Inc. - Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities",NASDAQ,2562505576.0,69.39184900333657,357.7256116349122,119.0,198.0,317.0,11.0
2024-12-31,SOPA,7630079.0,1159543.0,866416.0,1.23,5557177.0,Software - Application,Technology,https://images.financialmodelingprep.com/symbol/SOPA.png,True,-10004614.0,-8754740.0,Society Pass Incorporated - Common Stock,NASDAQ,-1206486.0,829.2358137599608,131.72290330323227,285.0,49.0,334.0,12.0
2024-10-31,HOVNP,209976000.0,43431000.0,986893000.0,16.5886,662299125.0,Residential Construction,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/HOVNP.png,True,343043001.0,-28038000.0,Hovnanian Enterprises Inc - Depositary Share representing 1/1000th of 7.625% Series A Preferred Stock,NASDAQ,1439216125.0,23.835405610119885,2228.5649386084583,21.0,326.0,347.0,13.0
2024-10-31,HOV,209976000.0,43431000.0,986893000.0,112.42,720698763.0,Residential Construction,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/HOV.png,True,343259000.0,-28038000.0,"Hovnanian Enterprises, Inc. Class A Common Stock",NYSE,1497615763.0,22.920365054945005,2229.968167348795,20.0,338.0,358.0,14.0
