date,symbol,cashAndCashEquivalents,propertyPlantEquipmentNet,totalDebt,mktCap,industry,sector,image,isActivelyTrading,ebit,workingCapital,Security Name,Exchange,enterpriseValue,earningsYield,returnOnCapital,rocRank,yieldRank,rankSum,overallRank
2024-12-31,INBX,152596000.0,13538000.0,8048000.0,169512836.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/INBX.png,True,1697819000.0,119668000.0,"Inhibrx Biosciences, Inc. - Common Stock",NASDAQ,24964836.0,6800.841792030999,1274.58147530892,36.0,5.0,41.0,1.0
2024-12-31,PRFX,4261000.0,97000.0,45000.0,3638050.0,Drug Manufacturers - Specialty & Generic,Healthcare,https://images.financialmodelingprep.com/symbol/PRFX.png,True,-17826000.000000015,-1899000.0,PainReform Ltd. - Ordinary Shares,NASDAQ,-577950.0,3084.3498572540902,989.2341842397345,48.0,15.0,63.0,2.0
2024-12-31,CEROW,3327060.0,1992888.0,1575499.0,93724.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/CEROW.png,True,-10579423.0,-3688344.0,"CERo Therapeutics Holdings, Inc. - Warrants",NASDAQ,-1657837.0,638.1461506770569,623.9868802257328,74.0,59.0,133.0,3.0
2024-12-31,MBIO,6839000.0,452000.0,878000.0,3735355.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/MBIO.png,True,-15747000.0,-4003000.0,"Mustang Bio, Inc. - Common Stock",NASDAQ,-2225645.0,707.5252342579342,443.45254857786534,98.0,55.0,153.0,4.0
2024-12-31,PAL,15398714.0,133607172.0,93571545.0,222237434.0,Integrated Freight & Logistics,Industrials,https://images.financialmodelingprep.com/symbol/PAL.png,True,771383349.0,15063511.0,"Proficient Auto Logistics, Inc. - Common Stock",NASDAQ,300410265.0,256.7766281222115,518.8537063490857,84.0,99.0,183.0,5.0
2023-12-31,NCI,5849306.0,25182536.0,54638254.0,7284720.0,Apparel - Manufacturers,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/NCI.png,True,108822000.0,-6088795.0,Neo-Concept International Group Holdings Limited - Class A Ordinary Shares,NASDAQ,56073668.0,194.06970130792942,569.9354568599207,78.0,123.0,201.0,6.0
2024-12-31,RIME,7550000.0,379000.0,650000.0,6178661.0,Consumer Electronics,Technology,https://images.financialmodelingprep.com/symbol/RIME.png,True,-22468000.0,-11675000.0,"Algorhythm Holdings, Inc. - Common Stock",NASDAQ,-721339.0,3114.762961658804,198.90226628895184,202.0,14.0,216.0,7.0
2024-03-31,AERT,2084000.0,10897000.0,16369000.0,28490382.0,Consulting Services,Industrials,https://images.financialmodelingprep.com/symbol/AERT.png,True,14577000.0,-10419000.0,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,42775382.0,34.07801244182927,3049.581589958159,13.0,275.0,288.0,8.0
2024-12-31,VTMX,184106780.0,2919853.0,847543818.0,234288690.0,Real Estate - Development,Real Estate,https://images.financialmodelingprep.com/symbol/VTMX.png,True,265973295.0,-1.0,"Corporacion Inmobiliaria Vesta, S.A.B de C.V. American Depositary Shares, each representing ten (10) Common Shares",NYSE,897725728.0,29.62745599288428,9109.136182244853,4.0,291.0,295.0,9.0
2024-12-31,PUK,2445000000.0,417000000.0,4722000000.0,29715381135.0,Insurance - Life,Financial Services,https://images.financialmodelingprep.com/symbol/PUK.png,True,16412186176.0,2212000000.0,Prudential Public Limited Company Common Stock,NYSE,31992381135.0,51.30029586339511,624.2748640547736,73.0,229.0,302.0,10.0
2021-12-31,BPOPM,7523000.0,494240000.0,71365000.0,2496722112.0,Banks,Financial Services,https://images.financialmodelingprep.com/symbol/BPOPM.png,True,1778170000.0,2836514.0,"Popular, Inc. - Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities",NASDAQ,2560564112.0,69.44446310352724,357.7256116349122,120.0,198.0,318.0,11.0
2024-12-31,SOPA,7630079.0,1159543.0,866416.0,5557177.0,Software - Application,Technology,https://images.financialmodelingprep.com/symbol/SOPA.png,True,-10004614.0,-8754740.0,Society Pass Incorporated - Common Stock,NASDAQ,-1206486.0,829.2358137599608,131.72290330323227,286.0,47.0,333.0,12.0
2024-10-31,HOVNP,209976000.0,43431000.0,986893000.0,658761774.0,Residential Construction,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/HOVNP.png,True,343043001.0,-28038000.0,Hovnanian Enterprises Inc - Depositary Share representing 1/1000th of 7.625% Series A Preferred Stock,NASDAQ,1435678774.0,23.894133368304573,2228.5649386084583,21.0,323.0,344.0,13.0
2024-10-31,HOV,209976000.0,43431000.0,986893000.0,692427268.0,Residential Construction,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/HOV.png,True,343259000.0,-28038000.0,"Hovnanian Enterprises, Inc. Class A Common Stock",NYSE,1469344268.0,23.361373333373226,2229.968167348795,20.0,330.0,350.0,14.0
2024-09-30,GMM,8068560.0,674366.0,5999791.0,46956904.0,Information Technology Services,Technology,https://images.financialmodelingprep.com/symbol/GMM.png,True,20955584.0,5664864.0,Global Mofy AI Limited  - Class A Ordinary Shares,NASDAQ,44888135.0,46.68401572041253,330.5698641633132,133.0,234.0,367.0,15.0
2024-12-31,CIG,1898000000.0,4102000000.0,12709000000.0,5641745919.0,Diversified Utilities,Utilities,https://images.financialmodelingprep.com/symbol/CIG.png,True,7419497000.0,-1914000000.0,Comp En De Mn Cemig ADS American Depositary Shares,NYSE,16452745919.0,45.0957976044096,339.09949725776966,128.0,240.0,368.0,16.0
2024-12-31,ASR,20083457000.0,268450000.0,13381952000.0,9560346533.0,"Airlines, Airports & Air Services",Industrials,https://images.financialmodelingprep.com/symbol/ASR.png,True,21198009000.0,19769005000.0,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",NYSE,2858841533.0,741.4894724072137,105.79192317587238,346.0,53.0,399.0,17.0
2024-12-31,SQNS,9093000.0,4049000.0,5382000.0,40366123.0,Semiconductors,Technology,https://images.financialmodelingprep.com/symbol/SQNS.png,True,68687000.0,50351000.0,Sequans Communications S.A. American Depositary Shares (each representing ten (10) Ordinary Shares),NYSE,36655123.0,187.38717641187563,126.26286764705883,299.0,128.0,427.0,18.0
2024-12-31,ERIC,43885000000.0,17032000000.0,45536000000.0,28195690488.0,Communication Equipment,Technology,https://images.financialmodelingprep.com/symbol/ERIC.png,True,36947000000.0,11894000000.0,Ericsson - American Depositary Shares each representing 1 underlying Class B share,NASDAQ,29846690488.0,123.78926908112211,127.7293784138837,294.0,154.0,448.0,19.0
2024-09-30,YCBD,2452553.0,602793.0,1270004.0,743711.0,Drug Manufacturers - Specialty & Generic,Healthcare,https://images.financialmodelingprep.com/symbol/YCBD.png,True,-2092453.0,-2809100.0,"cbdMD, Inc. Common Stock",AMEX,-438838.0,476.8167296359932,94.83961207574467,378.0,70.0,448.0,19.0
2024-12-31,EFSCP,760345000.0,45009000.0,192754000.0,710954475.0,Banks - Regional,Financial Services,https://images.financialmodelingprep.com/symbol/EFSCP.png,True,310672000.0,260280000.0,"Enterprise Financial Services Corporation - Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ,143363475.0,216.70233649121576,101.76324728372133,356.0,111.0,467.0,21.0
2024-12-31,OMAB,1656365000.0,3238839000.0,11460870000.0,4377083357.0,"Airlines, Airports & Air Services",Industrials,https://images.financialmodelingprep.com/symbol/OMAB.png,True,8599036000.0,2253237000.0,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares,NASDAQ,14181588357.0,60.635210834867706,156.57168618933898,257.0,220.0,477.0,22.0
2024-12-31,ELPC,672952009.0,1427041360.0,2841681756.0,1547157759.0,Diversified Utilities,Utilities,https://images.financialmodelingprep.com/symbol/ELPC.png,True,2559248943.0,436475763.0,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing four (4) Common Shares),NYSE,3715887506.0,68.87315449855818,137.33434007195865,280.0,200.0,480.0,23.0
2024-12-31,EIG,68300000.0,11500000.0,4200000.0,1191932948.0,Insurance - Specialty,Financial Services,https://images.financialmodelingprep.com/symbol/EIG.png,True,204300000.0,40300000.0,Employers Holdings Inc Common Stock,NYSE,1127832948.0,18.11438479096463,394.40154440154436,112.0,395.0,507.0,24.0
2024-03-31,ROIV,6535706000.0,65950000.0,499749000.0,7841903510.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/ROIV.png,True,4425222000.0,5222484000.0,Roivant Sciences Ltd. - Common Shares,NASDAQ,1805946510.0,245.0361611208518,83.677360821748,419.0,101.0,520.0,25.0
2024-12-31,BK,101937000000.0,3266000000.0,45444000000.0,62314301400.0,Asset Management,Financial Services,https://images.financialmodelingprep.com/symbol/BK.png,True,6329000000.0,3692000000.0,The Bank of New York Mellon Corporation Common Stock,NYSE,5821301400.0,108.72139346710341,90.96004599022707,392.0,162.0,554.0,26.0
2024-12-31,ESNT,131480000.0,41871000.0,493959000.0,6163972920.0,Insurance - Specialty,Financial Services,https://images.financialmodelingprep.com/symbol/ESNT.png,True,890810000.0,10289000.0,Essent Group Ltd. Common Shares,NYSE,6526451920.0,13.649223359328754,1707.8412576687117,28.0,528.0,556.0,27.0
2024-12-31,NVO,15655000000.0,162488000000.0,102787000000.0,302602715100.0,Drug Manufacturers - General,Healthcare,https://images.financialmodelingprep.com/symbol/NVO.png,True,134061000000.0,-61722000000.0,Novo Nordisk A/S Common Stock,NYSE,389734715100.0,34.398013521993285,133.0418990532521,284.0,273.0,557.0,28.0
2024-12-31,PAC,13465861000.0,4850901000.0,48029920000.0,10180109160.0,"Airlines, Airports & Air Services",Industrials,https://images.financialmodelingprep.com/symbol/PAC.png,True,15735170000.0,8419404000.0,"Grupo Aeroportuario Del Pacifico, S.A. B. de C.V. Grupo Aeroportuario Del Pacifico, S.A. de C.V. (each representing 10 Series B shares)",NYSE,44744168160.0,35.166974037226126,118.57429049294647,315.0,268.0,583.0,29.0
2023-12-31,DTCK,1330000.0,437000.0,734000.0,15922957.0,Agricultural Farm Products,Consumer Defensive,https://images.financialmodelingprep.com/symbol/DTCK.png,True,5084390.0,3806677.0,Davis Commodities Limited - Ordinary Shares,NASDAQ,15326957.0,33.17286007914031,119.81095639465491,312.0,277.0,589.0,30.0
2024-06-30,LVRO,911335000.0,439003000.0,1847881000.0,280767864.0,Agricultural Inputs,Basic Materials,https://images.financialmodelingprep.com/symbol/LVRO.png,True,206113000.0,-355348000.0,Lavoro Limited - Class A Ordinary Shares,NASDAQ,1217313864.0,16.931787774331962,246.38455561532484,169.0,422.0,591.0,31.0
2024-12-31,GNFT,81788000.0,7596000.0,62133000.0,217078732.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/GNFT.png,True,41608586.0,17604000.0,GENFIT S.A. - American Depositary Shares,NASDAQ,197423732.0,21.07577725255442,165.1134365079365,242.0,357.0,599.0,32.0
2024-12-31,WPP,1983000000.0,2294000000.0,6348000000.0,8660325099.0,Advertising Agencies,Communication Services,https://images.financialmodelingprep.com/symbol/WPP.png,True,1845600000.0,-1855000000.0,WPP plc American Depositary Shares,NYSE,13025325099.0,14.169320043625577,420.4100227790433,103.0,503.0,606.0,33.0
2024-12-31,NMIH,54218000.0,33881000.0,415146000.0,2984294780.0,Insurance - Specialty,Financial Services,https://images.financialmodelingprep.com/symbol/NMIH.png,True,516177000.0,158362000.0,NMI Holdings Inc - Common Stock,NASDAQ,3345222780.0,15.430272778424643,268.5023641953153,158.0,464.0,622.0,34.0
2024-12-31,ATLC,499636000.0,13878000.0,2505188000.0,868168249.0,Financial - Credit Services,Financial Services,https://images.financialmodelingprep.com/symbol/ATLC.png,True,468491000.0,189260000.0,Atlanticus Holdings Corporation - Common Stock,NASDAQ,2873720249.0,16.30259591771419,230.62696295129422,184.0,440.0,624.0,35.0
2024-12-31,LGCL,30380000.0,85040000.0,68027000.0,38105929.0,Software - Application,Technology,https://images.financialmodelingprep.com/symbol/LGCL.png,True,134804000.0,125852000.0,Lucas GC Limited - Ordinary Shares,NASDAQ,75752929.0,177.95219508938064,63.92086944976576,522.0,133.0,655.0,36.0
2024-12-31,BWMX,296558000.0,2115498000.0,5169538000.0,358238400.0,Specialty Retail,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/BWMX.png,True,1627197000.0,-428615000.0,"Betterware de Mexico, S.A.P.I. de C.V. Ordinary Shares",NYSE,5231218400.0,31.10550689300221,96.46175816580048,373.0,286.0,659.0,37.0
2024-12-31,FVCB,8161000.0,7982000.0,76333000.0,217745346.0,Banks - Regional,Financial Services,https://images.financialmodelingprep.com/symbol/FVCB.png,True,39195000.0,5656000.0,"FVCBankcorp, Inc. - Common Stock",NASDAQ,285917346.0,13.70850721313005,287.3955125384954,150.0,522.0,672.0,38.0
2024-12-31,ABEV,28595700000.0,30170200000.0,3452700000.0,39118000640.0,Beverages - Alcoholic,Consumer Defensive,https://images.financialmodelingprep.com/symbol/ABEV.png,True,21668533000.0,4767070000.0,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,13975000640.0,155.0521073893847,62.02125409340798,536.0,142.0,678.0,39.0
2024-12-31,NVAX,530230000.0,299998000.0,230419000.0,1026889800.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/NVAX.png,True,500150000.0,445858000.0,"Novavax, Inc. - Common Stock",NASDAQ,727078800.0,68.78896757820473,67.05717993821864,498.0,201.0,699.0,40.0
2024-12-31,VSTA,84532000.0,160952000.0,1175986000.0,316797983.0,Education & Training Services,Consumer Defensive,https://images.financialmodelingprep.com/symbol/VSTA.png,True,349344000.0,222153000.0,Vasta Platform Limited - Class A Ordinary Shares,NASDAQ,1408251983.0,24.806924060265995,91.18753344383393,391.0,316.0,707.0,41.0
2024-12-31,DOUG,139738000.0,138191000.0,156277000.0,167714518.0,Real Estate - Services,Real Estate,https://images.financialmodelingprep.com/symbol/DOUG.png,True,154673000.0,103908000.0,Douglas Elliman Inc. Common Stock,NYSE,184253518.0,83.94575130988815,63.88832667627706,523.0,186.0,709.0,42.0
2024-12-31,UL,6136000000.0,11669000000.0,30655000000.0,153655296000.0,Household & Personal Products,Consumer Defensive,https://images.financialmodelingprep.com/symbol/UL.png,True,21318000000.0,-6040000000.0,Unilever PLC Common Stock,NYSE,178174296000.0,11.964688778677706,378.71735654645585,116.0,597.0,713.0,43.0
2024-09-30,CGTL,443322.0,150014.0,126886.0,21115938.0,Specialty Retail,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/CGTL.png,True,8966797.878295057,12474443.0,Creative Global Technology Holdings Limited - Class A Ordinary Shares,NASDAQ,20799502.0,43.11063735225515,71.02719648294621,470.0,247.0,717.0,44.0
2024-12-31,WU,2105600000.0,245300000.0,3132000000.0,3301944750.0,Financial - Credit Services,Financial Services,https://images.financialmodelingprep.com/symbol/WU.png,True,713600000.0,291400000.0,Western Union Company (The) Common Stock,NYSE,4328344750.0,16.486671954677362,132.9606856716974,285.0,437.0,722.0,45.0
2024-12-31,VIRT,872513000.0,266461000.0,5712499000.0,3653820348.0,Financial - Capital Markets,Financial Services,https://images.financialmodelingprep.com/symbol/VIRT.png,True,1562008000.0,1198967000.0,"Virtu Financial, Inc. - Class A Common Stock",NASDAQ,8493806348.0,18.389964828522366,106.5905660325857,343.0,388.0,731.0,46.0
2024-12-31,PBYI,69219000.0,5094000.0,74082000.0,150899824.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/PBYI.png,True,41772000.0,45847000.0,Puma Biotechnology Inc - Common Stock,NASDAQ,155762824.0,26.81769560110184,82.00074596101372,426.0,306.0,732.0,47.0
2025-02-01,DDT,717854000.0,33562000.0,355323000.0,416580000.0,Department Stores,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/DDT.png,True,715545000.0,1533200000.0,Dillard's Capital Trust I,NYSE,54049000.0,1323.8820329700827,45.67030601967625,697.0,36.0,733.0,48.0
2024-06-30,CTLP,58920000.0,42015000.0,47327000.0,572048055.0,Information Technology Services,Technology,https://images.financialmodelingprep.com/symbol/CTLP.png,True,106055000.0,64217000.0,"Cantaloupe, Inc. - Common Stock",NASDAQ,560455055.0,18.923016048093277,99.83338353791702,360.0,384.0,744.0,49.0
2024-12-31,RAIL,44450000.0,77611000.0,158994000.0,217146669.0,Railroads,Industrials,https://images.financialmodelingprep.com/symbol/RAIL.png,True,104660000.0,64917000.0,"Freightcar America, Inc. - Common Stock",NASDAQ,331690669.0,31.553495404478802,73.43118545127975,462.0,284.0,746.0,50.0
2024-06-30,OTEX,1280662000.0,587514000.0,6687413000.0,7240427480.0,Software - Application,Technology,https://images.financialmodelingprep.com/symbol/OTEX.png,True,1365624226.0,-361550000.0,Open Text Corporation - Common Shares,NASDAQ,12647178480.0,10.797856835495532,604.3547759820149,76.0,675.0,751.0,51.0
2024-03-31,JL,4161818.0,2509793.0,2125381.0,11806400.0,Apparel - Manufacturers,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/JL.png,True,2840073.0,1338534.0,J-Long Group Limited - Ordinary Shares,NASDAQ,9769963.0,29.069434551594515,73.80019941132862,459.0,294.0,753.0,52.0
